Name of the task;The type of the task;the mean response time;the second quartile of the response time (50% needed at least X seconds);the third quartile of the response time (75% needed at least X seconds);The percentage of correct answers for this task;The response time is suitable if 50% needed at least 10 seconds and 75% needed less than 70 seconds. (not too fast nor to slow);The correctness rate should be at least 70%.;Selected for EEG and Eyetracking Study?
Task;Task Type;Mean Time (s);q2 (s);q3 (s);correct rate (%);is response time suitable?;is correctness high enough?;EEG Study?
CountVowels;ProgCompr;32.70;29.25;44.56;95.12%;Yes;Yes;yes original
Palindrome;ProgCompr;43.53;39.91;54.81;92.31%;Yes;Yes;yes original
Factorial;ProgCompr;19.17;16.89;22.99;90.70%;Yes;Yes;yes original
Hurricane;ProgCompr;35.16;31.93;45.18;84.62%;Yes;Yes;yes original
YesNo;ProgCompr;29.65;29.03;36.54;84.62%;Yes;Yes;yes original
Fibonacci;ProgCompr;36.99;34.14;42.46;81.40%;Yes;Yes;yes original
CrossSum;ProgCompr;40.16;32.54;50.51;79.49%;Yes;Yes;yes original
Power;ProgCompr;42.90;34.38;48.40;79.07%;Yes;Yes;yes original
ArrayAverage;ProgCompr;48.41;43.89;63.93;83.72%;Yes;Yes;yes original
SquareRoot;ProgCompr;50.07;42.33;61.79;79.07%;Yes;Yes;yes original
Prime;ProgCompr;52.14;45.01;65.64;79.07%;Yes;Yes;yes original
BinaryToDecimal;ProgCompr;57.40;50.18;63.75;79.07%;Yes;Yes;yes original
ForwardBackward;ProgCompr;50.26;40.36;61.28;72.09%;Yes;Yes;yes original
DumbSort;ProgCompr;72.86;66.66;93.17;80.49%;No;Yes;yes simplified
EverySecondChar;ProgCompr;52.94;36.41;50.62;60.47%;Yes;No;yes simplified
AlwaysZero;ProgCompr;38.65;33.78;42.44;58.97%;Yes;No;yes simplified
LCM;ProgCompr;61.31;48.34;68.18;65.12%;Yes;No;yes simplified
ContainSubstring;ProgCompr;118.63;87.73;170.31;69.05%;No;No;yes simplified
Fast;ProgCompr;93.19;78.81;116.37;65.12%;No;No;yes simplified
