,startTime,endTime,Stimuli
0,0 days 00:00:02.725179000,0 days 00:00:03.241652000,Text_training_Question
1,0 days 00:00:03.254283000,0 days 00:00:03.574880000,Read_training_answer
2,0 days 00:00:03.588820000,0 days 00:00:03.808953000,Matrix_training_Question
3,0 days 00:00:03.813187000,0 days 00:00:04.075753000,ProbSolv_training_answer
4,0 days 00:00:04.092241000,0 days 00:00:04.258781000,Math_training_Question
5,0 days 00:00:04.264534000,0 days 00:00:04.442052000,Math_training_answer
6,0 days 00:00:04.456862000,0 days 00:00:04.609261000,ProgCompr_training_Question
7,0 days 00:00:04.618688000,0 days 00:00:04.775209000,ProgCompr_training_Input
8,0 days 00:00:04.778985000,0 days 00:00:04.925554000,ProgCompr_training_answer
9,0 days 00:00:06.550258000,0 days 00:00:06.645597000,Math13_Question
10,0 days 00:00:06.655970000,0 days 00:00:06.813883000,Math13_Answers
11,0 days 00:00:07.492464000,0 days 00:00:07.644951000,greatestNumberQuestion
12,0 days 00:00:07.657017000,0 days 00:00:07.827438000,greatestNumberInput
13,0 days 00:00:07.838610000,0 days 00:00:07.997073000,greatestNumberAnswer
14,0 days 00:00:08.653151000,0 days 00:00:08.747062000,Medium1q
15,0 days 00:00:08.767007000,0 days 00:00:08.910807000,Medium1a
16,0 days 00:00:09.568609000,0 days 00:00:09.728873000,zeroQuestion
17,0 days 00:00:09.738419000,0 days 00:00:09.909360000,zeroIava\Snput
18,0 days 00:00:09.917048000,0 days 00:00:10.078266000,zeroAnswer
19,0 days 00:00:10.868651000,0 days 00:00:30.877895000,Fixation1q
20,0 days 00:00:30.960877000,0 days 00:00:31.041367000,Fixation1a
21,0 days 00:00:41.077895000,0 days 00:02:21.080142000,interleavingWordsQuestion
22,0 days 00:02:21.086954000,0 days 00:02:21.395209000,interleavingWordsInput
23,0 days 00:02:21.398988000,0 days 00:02:21.564585000,interleavingWordsAnswer
24,0 days 00:02:22.655015000,0 days 00:02:22.713625000,Geology_Question
25,0 days 00:02:22.726259000,0 days 00:02:22.864407000,Geology_Answers
26,0 days 00:02:23.391106000,0 days 00:02:23.513840000,middleNumberQuestion
27,0 days 00:02:23.521238000,0 days 00:02:23.663099000,middleNumberInput
28,0 days 00:02:23.675649000,0 days 00:02:23.915664000,middleNumberAnswer
29,0 days 00:02:24.508809000,0 days 00:02:24.581306000,Math1_Question
30,0 days 00:02:24.591280000,0 days 00:02:24.732633000,Math1_Answers
31,0 days 00:02:25.248506000,0 days 00:02:25.415151000,DoubleArrayQuestion
32,0 days 00:02:25.425121000,0 days 00:02:25.563071000,DoubleArrayInput
33,0 days 00:02:25.575796000,0 days 00:02:25.848589000,DoubleArrayAnswer
34,0 days 00:02:26.461833000,0 days 00:02:26.532620000,Easy2q
35,0 days 00:02:26.558273000,0 days 00:02:26.698806000,Easy2a
36,0 days 00:02:27.348548000,0 days 00:02:27.514454000,CommonCharsQuestion
37,0 days 00:02:27.525744000,0 days 00:02:27.662438000,CommonCharsInput
